EGC_ID,CollectionDate,CW_mm,Sex
WACO.2021.086,5/19/2021,55,Female
WACO.2021.097,5/26/2021,77,Male
WACO.2021.098,5/26/2021,91,Male
WACO.2021.099,5/26/2021,91,Male
WACO.2021.101,5/26/2021,85,Male
WACO.2021.102,5/26/2021,88,Male
WACO.2021.104,5/26/2021,83,Male
WACO.2021.105,5/26/2021,87,Male
WACO.2021.106,5/26/2021,87,Male
WACO.2021.110,5/26/2021,57,Female
WACO.2021.114,5/26/2021,56,Female
WACO.2021.115,5/26/2021,49,Male
WACO.2021.120,5/26/2021,56,Male
WACO.2021.126,5/26/2021,85,Male
WACO.2021.127,5/26/2021,78,Male
WACO.2021.128,5/26/2021,65,Male
WACO.2021.133,5/26/2021,56,Male
WACO.2021.134,5/26/2021,77,Male
WACO.2021.135,5/26/2021,73,Male
WACO.2021.136,5/26/2021,56,Male
WACO.2021.137,5/26/2021,79,Male
WACO.2021.139,5/26/2021,81,Male
WACO.2021.141,5/26/2021,58,Male
WACO.2021.143,5/26/2021,75,Male
WACO.2021.145,5/26/2021,62,Male
WACO.2021.146,5/26/2021,59,Male
WACO.2021.148,5/26/2021,62,Male
WACO.2021.225,7/8/2021,62,Male
WACO.2021.226,7/8/2021,63,Male
WACO.2021.234,7/8/2021,61,Male
WACO.2021.238,7/8/2021,64,Male
WACO.2021.240,7/8/2021,59,Male
WACO.2021.247,7/8/2021,74,Male
WACO.2021.250,7/8/2021,69,Male
WACO.2021.259,7/8/2021,69,Male
WACO.2021.261,7/8/2021,62,Male
WACO.2021.262,7/8/2021,78,Male
WACO.2021.263,7/8/2021,59,Male
WACO.2021.268,7/8/2021,67,Male
WACO.2021.281,7/8/2021,61,Male
WACO.2021.283,7/8/2021,44,Male
WACO.2021.284,7/8/2021,69,Male
WACO.2021.285,7/8/2021,52,Male
WACO.2021.286,7/8/2021,54,Male
WACO.2021.288,7/8/2021,62,Female
WACO.2021.289,7/8/2021,55,Female
WACO.2021.290,7/8/2021,51,Male
WACO.2021.298,7/8/2021,64,Male
WACO.2021.306,7/8/2021,64,Male
WACO.2021.307,7/8/2021,67,Male
WACO.2021.308,7/8/2021,61,Male
WACO.2021.309,7/8/2021,71,Male
WACO.2021.310,7/8/2021,69,Male
WACO.2021.315,7/8/2021,60,Male
WACO.2021.319,7/8/2021,63,Male
WACO.2021.321,7/8/2021,69,Male
WACO.2021.323,7/8/2021,61,Male
WACO.2021.328,7/8/2021,60,Male
WACO.2021.336,7/8/2021,66,Male
WACO.2021.340,7/8/2021,69,Male
WACO.2021.341,7/8/2021,84,Male
WACO.2021.342,7/8/2021,63,Male
WACO.2021.343,7/8/2021,59,Male
WACO.2021.347,7/8/2021,62,Female
WACO.2021.348,7/8/2021,69,Male
WACO.2021.349,7/8/2021,61,Male
WACO.2021.350,7/8/2021,58,Male
WACO.2021.491,9/7/2021,57,Female
WACO.2021.493,9/7/2021,63,Male
WACO.2021.494,9/7/2021,65,Female
WACO.2021.495,9/7/2021,62,Male
WACO.2021.497,9/7/2021,63,Male
WACO.2021.498,9/7/2021,59,Female
WACO.2021.499,9/7/2021,54,Male
WACO.2021.500,9/7/2021,72,Male
WACO.2021.501,9/7/2021,69,Male
WACO.2021.503,9/7/2021,67,Male
WACO.2021.511,9/7/2021,68,Male
WACO.2021.512,9/7/2021,71,Male
WACO.2021.547,9/7/2021,75,Male
WACO.2021.564,9/7/2021,69,Male
WACO.2021.565,9/7/2021,68,Male
WACO.2021.570,9/7/2021,73,Male
WACO.2021.571,9/7/2021,65,Male
WACO.2021.573,9/7/2021,60,Male
WACO.2021.585,9/7/2021,67,Male
WACO.2021.591,9/7/2021,69,Male
WACO.2021.592,9/7/2021,68,Male
WACO.2021.600,9/7/2021,68,Male
WACO.2021.601,9/7/2021,62,Male
WACO.2021.603,9/7/2021,57,Male
WACO.2021.604,9/7/2021,56,Male
WACO.2021.606,9/7/2021,64,Female
WACO.2021.607,9/7/2021,69,Female
WACO.2021.609,9/7/2021,64,Female
WACO.2021.611,9/7/2021,67,Female
WACO.2021.612,9/7/2021,71,Male
WACO.2021.617,9/7/2021,65,Male
WACO.2021.618,9/7/2021,55,Male
WACO.2021.619,9/7/2021,77,Male
WACO.2021.629,9/7/2021,55,Male
WACO.2021.631,9/7/2021,76,Male
WACO.2021.632,9/7/2021,57,Male
WACO.2021.641,9/7/2021,56,Male
WACO.2021.644,9/7/2021,63,Male
WACO.2021.645,9/7/2021,65,Male
WACO.2021.652,9/7/2021,54,Male
WACO.2021.665,9/7/2021,61,Male
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
